-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 4.380156956747635E13, 5.3790708770739425E14
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 4.380156956747635E13, 5.37907087707393E14
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.3140470870242906E14, 1.613721263122179E15
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.3140470870242906E14, 1.6137212631221778E15
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 2.6280941740485812E14, 3.227442526244354E15
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 2.6280941740485812E14, 3.227442526244353E15
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 7.884282522145744E14, 9.682327578733058E15
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 7.884282522145744E14, 9.682327578733056E15
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.5768565044291488E15, 1.9364655157466112E16
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.5768565044291488E15, 1.9364655157466112E16
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 4.730569513287446E15, 5.8093965472398336E16
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 4.730569513287446E15, 5.8093965472398336E16
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 9.461139026574892E15, 1.16187930944796672E17
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 9.461139026574892E15, 1.16187930944796672E17
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 2.8383417079724676E16, 3.4856379283439002E17
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 2.8383417079724676E16, 3.4856379283439002E17
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 5.6766834159449352E16, 6.9712758566878003E17
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 5.6766834159449352E16, 6.9712758566878003E17
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.70300502478348064E17, 2.0913827570063401E18
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.70300502478348064E17, 2.0913827570063401E18
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 3.4060100495669613E17, 4.1827655140126802E18
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 3.4060100495669613E17, 4.1827655140126802E18
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.02180301487008845E18, 1.254829654203804E19
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.02180301487008845E18, 1.254829654203804E19
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 2.0436060297401769E18, 2.509659308407608E19
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 2.0436060297401769E18, 2.509659308407608E19
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 6.1308180892205302E18, 7.528977925222824E19
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 6.1308180892205302E18, 7.528977925222824E19
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.226163617844106E19, 1.505795585044565E20
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.226163617844106E19, 1.505795585044565E20
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 3.678490853532318E19, 4.517386755133694E20
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 3.678490853532318E19, 4.517386755133694E20
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 7.356981707064636E19, 9.034773510267389E20
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 7.356981707064636E19, 9.034773510267389E20
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 2.207094512119391E20, 2.7104320530802163E21
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 2.207094512119391E20, 2.7104320530802163E21
